도시,구,동,위도,경도
대구광역시,달서구,진천동,35.81035,128.5214056
대구광역시,달서구,월성동,35.82318056,128.5284361
대구광역시,달서구,진천동,35.81093056,128.5290833
대구광역시,달서구,본동,35.83605278,128.5400139
대구광역시,달서구,송현동,35.82162778,128.5514333
대구광역시,달서구,성당동,35.84934444,128.568175
대구광역시,달서구,"두류1,2동",35.85633611,128.5596333
대구광역시,달서구,두류동,35.85454722,128.5532667
대구광역시,달서구,본리동,35.83932222,128.5352694
대구광역시,달서구,감삼동,35.85176389,128.5437667
대구광역시,달서구,두류동,35.8599,128.5686667
대구광역시,달서구,성당동,35.85101944,128.5692333
대구광역시,달서구,두류동,35.85596389,128.5708333
대구광역시,달서구,용산동,35.86193333,128.5238444
대구광역시,달서구,용산동,35.86128611,128.5264472
대구광역시,달서구,장기동,35.84735,128.5290472
대구광역시,달서구,신당동,35.84605556,128.4970944
대구광역시,달서구,이곡동,35.8595,128.5134361
대구광역시,달서구,송현동,35.83493333,128.5526667
대구광역시,달서구,월성1동,35.82605833,128.5373472
대구광역시,달서구,송현동,35.82803889,128.5549
대구광역시,달서구,본리동,35.84037778,128.5297806
대구광역시,달서구,감삼동,35.84981944,128.5442222
대구광역시,달서구,본동,35.83603056,128.5394694
대구광역시,달서구,본리동,35.84047778,128.5412139
대구광역시,달서구,죽전동,35.85260833,128.5349139
대구광역시,달서구,송현동,35.83125833,128.5575222
대구광역시,달서구,송현동,35.83088056,128.5437694
대구광역시,달서구,송현2동,35.83254167,128.5453917
대구광역시,달서구,상인3동,35.81093056,128.5515139
대구광역시,달서구,진천동,35.81280278,128.5215472
대구광역시,달서구,대천동,35.81951111,128.5179278
대구광역시,달서구,두류동,35.85846944,128.5620667
대구광역시,달서구,성당동,35.84215833,128.555
대구광역시,달서구,죽전동,35.85445833,128.5357694
대구광역시,달서구,용산동,35.85806389,128.5324028
대구광역시,달서구,도원동,35.80584444,128.5355806
대구광역시,달서구,송현1동,35.82366111,128.5537778
대구광역시,달서구,상인동,35.81735278,128.5354028
대구광역시,달서구,진천동,35.812975,128.532825
대구광역시,달서구,송현1동,35.82901667,128.5521556
대구광역시,달서구,상인동,35.82416389,128.5353583
대구광역시,달서구,상인2동,35.81010278,128.5413694
대구광역시,달서구,도원동,35.804375,128.5350472
대구광역시,달서구,상인동,35.81059722,128.5350583
대구광역시,달서구,송현2동,35.83254167,128.5453917
대구광역시,달서구,송현1동,35.82355833,128.5470028
대구광역시,달서구,진천동,35.81446111,128.5293806
대구광역시,달서구,대곡동,35.80938056,128.5150833
대구광역시,달서구,진천동,35.81322222,128.5252806
대구광역시,달서구,월성동,35.8190242,128.5229352
대구광역시,달서구,상인2동,35.81483889,128.5354472
대구광역시,달서구,상인1동,35.81850556,128.5472306
