주소,동,위도,경도
대구광역시 달서구이곡동 1304-4,이곡동 1304-4,35.857125,128.512825
대구광역시 달서구장기동 813-3,장기동 813-3,35.84394444,128.5283917
대구광역시 달서구장기동 511,장기동 511,35.84508056,128.532425
대구광역시 달서구용산동 957,용산동 957,35.854125,128.5264694
대구광역시 달서구장기동 361-9,장기동 361-9,35.84988889,128.5237472
대구광역시 달서구호산동 357-11,호산동 357-11,35.84861389,128.4780833
대구광역시 달서구감삼동 195-23,감삼동 195-23,35.84957778,128.5448778
대구광역시 달서구상인동 1550,상인동 1550,35.813925,128.5492694
대구광역시 달서구상인동 1430-7,상인동 1430-7,35.81523611,128.5365583
대구광역시 달서구송현1동 1981-5,송현1동 1981-5,35.82828611,128.5535111
대구광역시 달서구송현1동 798-72,송현1동 798-72,35.82584167,128.5494361
대구광역시 달서구진천동 695-27,진천동 695-27,35.81023056,128.5201056
대구광역시 달서구진천동623-12,진천동623-12,35.81305,128.5229139
대구광역시 달서구본동 706,본동 706,35.83545833,128.5320472
대구광역시 달서구진천동 809-84,진천동 809-84,35.80818,128.52189
대구광역시 달서구두류동 105-1,두류동 105-1,35.857975,128.5626222
대구광역시 달서구두류동 142-6,두류동 142-6,35.85681944,128.5611444
대구광역시 달서구두류동 624-1,두류동 624-1,35.85274722,128.5535667
대구광역시 달서구성당동 695-147,성당동 695-147,35.84698333,128.5460667
대구광역시 달서구두류동 109-15,두류동 109-15,35.85804167,128.5650889
대구광역시 달서구성당동 412-4,성당동 412-4,35.84005,128.5487556
대구광역시 달서구두류동 1272-43,두류동 1272-43,35.85533333,128.5683333
대구광역시 달서구호산동 357-21,호산동 357-21,35.85078056,128.4868167
대구광역시 달서구성당동 487-22,성당동 487-22,35.8416,128.5535556
대구광역시 달서구상인동 1417,상인동 1417,35.81485833,128.5384472
대구광역시 달서구송현동 2010-20,송현동 2010-20,35.83021389,128.5589
대구광역시 달서구도원동 1439-5,도원동 1439-5,35.80675833,128.5419472
대구광역시 달서구상인1동 1517-1,상인1동 1517-1,35.8182802,128.5438517
대구광역시 달서구상인1동 860-2,상인1동 860-2,35.8210489,128.5468337
대구광역시 달서구상인1동 1531-2,상인1동 1531-2,35.81774167,128.546125
대구광역시 달서구송현1동 1998-2,송현1동 1998-2,35.82931667,128.5543556
대구광역시 달서구송현동 554,송현동 554,35.830775,128.5472917
대구광역시 달서구송현동 1990,송현동 1990,35.82666389,128.5562222
대구광역시 달서구대곡동 7-9,대곡동 7-9,35.8075,128.5093389
대구광역시 달서구감삼동 295-31,감삼동 295-31,35.84548333,128.5434778
대구광역시 달서구신당동 1761-18,신당동 1761-18,35.858375,128.4991833
대구광역시 달서구신당동 1814,신당동 1814,35.85405278,128.4940167
대구광역시 달서구두류동 487-23,두류동 487-23,35.85636389,128.5560583
